word,frequency
ኢየሱስ,19984
እኔ,7570
እግዚአብሄር,4259
እርሱ,3443
አለ,2836
ሰው,2448
ክብር,2408
ፍቅር,2108
አምላኬ,1955
ዛሬ,1853
ምሥጋና,1747
በላይ,1741
አምላክ,1716
ልቤ,1680
አንተን,1624
ብዙ,1610
ገና,1553
አለኝ,1523
ቃል,1372
ማነ,1298
ምድር,1270
ህይወት,1226
ዘለዓለም,1151
ሆነ,1135
ነፍሴ,1064
ህይወቴ,1042
ፊት,1041
ሞት,928
ሰማይ,924
ቀን,922
ሁሉን,920
ጋር,894
ከፍ,878
ምህረት,876
ለአንተ,865
ዓለም,851
እኛ,835
ደስ,830
ያለው,810
ሃሌሉያ,807
መልካም,796
ድል,794
ጊዜ,793
ደስታ,788
እኔስ,780
ተስፋ,772
ይሄ,770
ክበር,751
ጋራ,716
አንድ,699
ቅዱስ,693
ምህረቱ,687
እኮ,679
እውነት,668
ሰላም,661
ውለታ,646
ድንቅ,638
አባት,630
ቤት,628
እጅግ,626
ጌታን,626
ስራ,625
ከቶ,618
ሁሌ,590
ወይ,587
ሥም,581
ጠላቴ,581
ይህን,571
ጠላት,559
እንዲ,557
ደግሞ,554
ሁሉም,550
ሆኖ,548
ልጅ,547
ፍቅሩ,542
ተመስገን,531
ዘመን,518
ዝም,515
ስም,514
ወዳጅ,512
መቼ,501
መንገድ,495
ኃይል,492
የአንተ,491
መንፈስ,483
ማንም,481
ትልቅ,480
ታላቅ,475
ውስጥ,472
አሜን,470
ልዩ,462
ምንም,460
ቃሉ,456
ልብ,455
ንጉሥ,451
አዲስ,447
መች,446
ሁልግዜ,438
አባቴ,429
ጨለማ,428
እንኳ,421
ሥራ,419
ዝማሬ,418
ይለኛል,416
ታማኝ,413
ነውና,409
አምልኮ,409
ገናና,408
እንዳንተ,406
ዘመኔ,403
የለ,403
ዘላለም,398
ቤቴ,387
ሙሉ,382
ንገሥ,377
ወዳጄ,376
ውስጤ,373
የት,373
ፍጥረት,372
ምሥጋናዬ,371
እጅ,369
ክብሩ,368
ቀር,366
ፀጋ,363
ተባረክ,362
አዎ,362
ፊቱ,362
ሥሙ,361
ሌለ,360
ክፉ,359
ያን,354
ከንቱ,347
እጁ,346
ስሙ,344
ነገ,339
ይኸ,339
ልበል,338
እጄ,334
ፍፁም,334
ይሆናል,333
ብርሃን,332
መኖር,330
አቤቱ,330
መከራ,327
ዘንድ,327
ዕልልታ,325
ተራራ,319
ሞገስ,314
ብርቱ,314
እሳት,314
ኑሮ,311
የለኝ,311
በዛ,308
ለም,305
ዙፋን,305
ከሁሉ,302
ዙፋኑ,301
እስኪ,300
በል,298
እስቲ,297
እኔማ,297
ነዉ,295
ያኔ,295
እያለ,293
ይመጣል,290
ደም,290
አሁ,288
ውኃ,288
ፊቴ,288
እላለሁ,283
ቢሆን,282
ተነሳ,282
ይላል,280
ለኔ,277
መጣ,276
ይችላል,270
ግሩ,270
ቸርነት,269
ስንቱ,268
አይቻለሁ,268
እምነት,268
ስለዚ,267
መስቀል,266
ጉልበት,264
ቤቱ,263
ደሙ,263
ክብሬ,258
ያው,258
ይልቅ,258
ያለኝ,255
በቃ,252
ማታ,251
ከላይ,250
ከዚ,248
ግርማ,248
ማደሪያ,247
ለጌታ,246
ታሪክ,245
በዚህ,244
መላ,242
ዜማ,242
